yxmc,xm,zcmc,kcmc,kcbm,xqxs,xqxf,sjms,bz,nj,xn,xq,yqdrs
船舶海洋与建筑工程学院,刘萍,副教授                  ,色彩（Ⅰ）                                        ,005-(2012-2013-2)AD104(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第4节
.(1-16周).刘萍 副教授
.(1-16周).段滨 讲师(高校)
",限建筑学                                                                                                                                                                                                                                                            ,2012,2012-2013,2,45
船舶海洋与建筑工程学院,宋元斌,高级工程师              ,系统工程                                          ,001-(2012-2013-2)AM239(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东中院2-301(1-16周).宋元斌
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,121
船舶海洋与建筑工程学院,刘士兴,副教授                  ,设计基础（2）                                     ,001-(2012-2013-2)AR107(教学班)                    ,144,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).刘士兴 副教授
.(1-16周).秦丹尼 副教授
.(1-16周).曹永康 副教授
星期四  第7节--第10节
.(1-16周).刘士兴 副教授
.(1-16周).秦丹尼 副教授
.(1-16周).曹永康 副教授
",专用教室，限建筑学，卢琦合上                                                                                                                                                                                                                                        ,2012,2012-2013,2,43
船舶海洋与建筑工程学院,刘萍,副教授                  ,素描实习（A类）                                   ,002-(2012-2013-2)AR111(教学班)                    ,34,2.0,"行课安排为第23周 --- 第26周,其中:
星期日  第1节--第4节
.(23-26周).段滨 讲师(高校)
.(23-26周).刘萍 副教授
","虚拟排课,限建筑学                                                                                                                                                                                                                                                   ",2012,2012-2013,2,42
船舶海洋与建筑工程学院,方从启,副教授                  ,建筑力学（2）                                     ,001-(2012-2013-2)AR112(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期五  第6节--第8节
中院313(1-16周).方从启
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,36
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,建筑设计及原理（1-2）                             ,001-(2012-2013-2)AR204(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).赵冬梅 工程师
.(1-16周).范文兵 副教授
.(1-16周).杜春宇 工程师
星期四  第7节--第10节
.(1-16周).赵冬梅 工程师
.(1-16周).范文兵 副教授
.(1-16周).杜春宇 工程师
",建筑学专业教室，限建筑业，与王浩娱老师合上                                                                                                                                                                                                                          ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,刘萍,副教授                  ,美术与建筑表现                                    ,001-(2012-2013-2)AR206(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第4节
.(1-16周).段滨 讲师(高校)
.(1-16周).刘萍 副教授
",建筑学专用教室                                                                                                                                                                                                                                                      ,2011,2012-2013,2,32
船舶海洋与建筑工程学院,秦丹尼,副教授                  ,环境行为心理学                                    ,001-(2012-2013-2)AR211(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院4-505(1-16周).秦丹尼
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,38
船舶海洋与建筑工程学院,赵冬梅,工程师                  ,外国建筑史                                        ,001-(2012-2013-2)AR217(教学班)                    ,64,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
中院404(1-16周).赵冬梅
星期五  第3节--第4节
中院404(1-16周).赵冬梅
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,33
船舶海洋与建筑工程学院,林峰,副教授                  ,建筑构造（2）                                     ,001-(2012-2013-2)AR218(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期三  第1节--第2节
东中院4-405(1-16周).林峰
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,44
船舶海洋与建筑工程学院,刘萍,副教授                  ,色彩实习                                          ,001-(2012-2013-2)AR219(教学班)                    ,34,2.0,"行课安排为第23周 --- 第24周,其中:
星期六  第1节--第2节
.(23-24周).段滨 讲师(高校)
.(23-24周).刘萍 副教授
",小学期后上课                                                                                                                                                                                                                                                        ,2011,2012-2013,2,31
船舶海洋与建筑工程学院,黄继红,副研究员                ,建筑物理环境（2）                                 ,001-(2012-2013-2)AR303(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期三  第3节--第4节
东中院1-102(1-16周).黄继红
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,44
船舶海洋与建筑工程学院,盛翀,副教授                  ,景观设计                                          ,001-(2012-2013-2)AR310(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第3节--第4节
东中院4-405(1-16周).盛翀
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,39
船舶海洋与建筑工程学院,曹永康,副教授                  ,古建营造                                          ,001-(2012-2013-2)AR313(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
下院212(1-16周).曹永康
",仅限建筑学专业                                                                                                                                                                                                                                                      ,2011,2012-2013,2,11
船舶海洋与建筑工程学院,马文军,副教授                  ,建筑设计及原理（2-2）                             ,001-(2012-2013-2)AR315(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).赵国文
.(1-16周).马文军
.(1-16周).陆邵明
星期四  第1节--第4节
.(1-16周).赵国文
.(1-16周).马文军
.(1-16周).陆邵明
",建筑学专用教室，张炯合上                                                                                                                                                                                                                                            ,2010,2012-2013,2,43
船舶海洋与建筑工程学院,姜静,副教授                  ,建筑结构（2）                                     ,001-(2012-2013-2)AR316(教学班)                    ,36,2.0,"行课安排为第1周 --- 第16周,其中:
星期五  第1节--第2节
东中院1-102(1-16周).姜静
",限建筑学                                                                                                                                                                                                                                                            ,2010,2012-2013,2,43
船舶海洋与建筑工程学院,曹永康,副教授                  ,历史建筑测绘与调查                                ,002-(2012-2013-2)AR317(教学班)                    ,51,3.0,"行课安排为第23周 --- 第26周,其中:
星期六  第1节--第2节
.(23-26周).曹永康 副教授
.(23-26周).兰丽 助理研究员(自然科学)
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,40
船舶海洋与建筑工程学院,兰丽,助理研究员              ,施工实习                                          ,002-(2012-2013-2)AR318(教学班)                    ,17,1.0,"行课安排为第23周 --- 第26周,其中:
星期日  第1节--第2节
.(23-26周).兰丽 助理研究员
",小学期结束后进行                                                                                                                                                                                                                                                    ,2010,2012-2013,2,40
船舶海洋与建筑工程学院,张会波,讲师(高校)              ,建筑设备（2）                                     ,001-(2012-2013-2)AR402(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
东中院1-102(1-16周).张会波
",限建筑学专业                                                                                                                                                                                                                                                        ,2009,2012-2013,2,43
船舶海洋与建筑工程学院,宣湟,讲师(高校)              ,生态建筑概论                                      ,001-(2012-2013-2)AR411(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期一  第1节--第2节
东中院1-201(1-16周).宣湟
",英语授课                                                                                                                                                                                                                                                            ,2010,2012-2013,2,16
船舶海洋与建筑工程学院,吴建,工程师                  ,当代建筑与思潮                                    ,001-(2012-2013-2)AR412(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
东中院1-301(1-16周).吴建
",                                                                                                                                                                                                                                                                    ,2010,2012-2013,2,35
船舶海洋与建筑工程学院,黄建云,教授                    ,建筑设计及原理（3-2）                             ,001-(2012-2013-2)AR413(教学班)                    ,136,8.0,"行课安排为第1周 --- 第16周,其中:
星期一  第7节--第10节
.(1-16周).黄建云 教授
.(1-16周).盛翀 副教授
.(1-16周).刘杰 副教授
星期四  第1节--第4节
.(1-16周).黄建云 教授
.(1-16周).盛翀 副教授
.(1-16周).刘杰 副教授
",限建筑学专业，张清合上                                                                                                                                                                                                                                              ,2009,2012-2013,2,43
船舶海洋与建筑工程学院,张清,高级工程师              ,建筑师业务                                        ,001-(2012-2013-2)AR415(教学班)                    ,51,3.0,"行课安排为第1周 --- 第16周,其中:
星期四  第6节--第8节
东中院1-301(1-16周).张清
",限建筑学专业                                                                                                                                                                                                                                                        ,2009,2012-2013,2,45
船舶海洋与建筑工程学院,刘士兴,副教授                  ,建筑赏析                                          ,002-(2012-2013-2)AR901(教学班)                    ,34,2.0,"行课安排为第19周 --- 第22周,其中:
星期二  第1节--第4节
中院205(19-22周).刘士兴 副教授
中院205(19-22周).赵冬梅 工程师
中院205(19-22周).卢琦 讲师(高校)
星期四  第1节--第4节
中院205(19-22周).刘士兴 副教授
中院205(19-22周).赵冬梅 工程师
中院205(19-22周).卢琦 讲师(高校)
",除建筑学学生外的全校学生                                                                                                                                                                                                                                            ,0,2012-2013,2,107
船舶海洋与建筑工程学院,刘士兴,副教授                  ,建筑赏析                                          ,001-(2012-2013-2)AR901(教学班)                    ,34,2.0,"行课安排为第1周 --- 第16周,其中:
星期二  第9节--第10节
下院109(1-16周).刘士兴
下院109(1-16周).赵冬梅
下院109(1-16周).卢琦
下院109(1-16周).王浩娱
",                                                                                                                                                                                                                                                                    ,0,2012-2013,2,99
船舶海洋与建筑工程学院,付功义,教授                    ,浮空飞行器与柔性结构设计                          ,001-(2012-2013-2)AV003(教学班)                    ,16,1.0,"行课安排为第19周 --- 第21周,其中:
星期二  第7节--第9节
下院310(19-21周).付功义
星期四  第7节--第9节
下院310(19-21周).付功义
",本科2、3年级                                                                                                                                                                                                                                                        ,0,2012-2013,2,12
船舶海洋与建筑工程学院,张景新,副教授                  ,流体力学（D类）                                   ,001-(2012-2013-2)AV203(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期二  第1节--第2节
东中院1-304(1-16周).张景新
星期四  第1节--第2节
东中院1-304(1-16周).张景新
",                                                                                                                                                                                                                                                                    ,2011,2012-2013,2,27
船舶海洋与建筑工程学院,车驰东,讲师(高校)              ,工程热力学（D类）                                 ,001-(2012-2013-2)AV205(教学班)                    ,68,4.0,"行课安排为第1周 --- 第16周,其中:
星期一  第3节--第4节
东中院1-103(1-16周).车驰东
星期四  第7节--第8节
东中院1-103(1-16周).车驰东
",双语授课                                                                                                                                                                                                                                                            ,2011,2012-2013,2,29
船舶海洋与建筑工程学院,滕念管,副教授                  ,毕业设计（论文）（土木工程）                      ,001-(2012-2013-2)BS001(教学班)                    ,272,16.0,"行课安排为第1周 --- 第16周,其中:
星期六  第1节--第2节
.(1-16周).滕念管 副教授
",虚拟时间                                                                                                                                                                                                                                                            ,2009,2012-2013,2,59
